sample_idx,time_s,x_raw,x_g,x_m_s2,device_name,ble_address,odr_hz,capture_elapsed_us,read_failures,overflow_ram
0,0.0,-6,-0.001464,-0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
1,0.001166206736353078,12,0.002928,0.028713871199999998,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
2,0.002332413472706156,7,0.0017079999999999999,0.0167497582,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
3,0.0034986202090592344,5,0.00122,0.011964112999999998,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
4,0.004664826945412312,0,0.0,0.0,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
5,0.00583103368176539,8,0.001952,0.0191425808,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
6,0.006997240418118469,2,0.000488,0.0047856452,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
7,0.008163447154471546,6,0.001464,0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
8,0.009329653890824624,16,0.003904,0.0382851616,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
9,0.010495860627177703,9,0.0021959999999999996,0.021535403399999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
10,0.01166206736353078,-6,-0.001464,-0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
11,0.012828274099883859,-11,-0.002684,-0.0263210486,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
12,0.013994480836236937,7,0.0017079999999999999,0.0167497582,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
13,0.015160687572590014,11,0.002684,0.0263210486,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
14,0.01632689430894309,3,0.000732,0.007178467799999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
15,0.01749310104529617,-16,-0.003904,-0.0382851616,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
16,0.01865930778164925,-17,-0.004148,-0.040677984199999996,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
17,0.019825514518002327,-4,-0.000976,-0.0095712904,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
18,0.020991721254355406,-11,-0.002684,-0.0263210486,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
19,0.02215792799070848,4,0.000976,0.0095712904,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
20,0.02332413472706156,-10,-0.00244,-0.023928225999999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
21,0.02449034146341464,10,0.00244,0.023928225999999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
22,0.025656548199767717,14,0.0034159999999999998,0.0334995164,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
23,0.026822754936120796,6,0.001464,0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
24,0.027988961672473875,0,0.0,0.0,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
25,0.02915516840882695,9,0.0021959999999999996,0.021535403399999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
26,0.03032137514518003,10,0.00244,0.023928225999999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
27,0.031487581881533104,11,0.002684,0.0263210486,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
28,0.03265378861788618,-6,-0.001464,-0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
29,0.03381999535423926,-3,-0.000732,-0.007178467799999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
30,0.03498620209059234,4,0.000976,0.0095712904,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
31,0.03615240882694542,4,0.000976,0.0095712904,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
32,0.0373186155632985,9,0.0021959999999999996,0.021535403399999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
33,0.038484822299651576,1,0.000244,0.0023928226,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
34,0.039651029036004655,0,0.0,0.0,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
35,0.040817235772357734,-8,-0.001952,-0.0191425808,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
