sample_idx,time_s,x_raw,x_g,x_m_s2,device_name,odr_hz,capture_elapsed_us
0,0.0,-2543,-0.6204919999999999,-6.084947871799999,XIAO-IMU-3,3330,1000086
1,0.0011807390791027156,-2542,-0.6202479999999999,-6.082555049199999,XIAO-IMU-3,3330,1000086
2,0.002361478158205431,-2562,-0.625128,-6.1304115012,XIAO-IMU-3,3330,1000086
3,0.0035422172373081465,-2561,-0.624884,-6.128018678599999,XIAO-IMU-3,3330,1000086
4,0.004722956316410862,-2565,-0.62586,-6.1375899689999995,XIAO-IMU-3,3330,1000086
5,0.005903695395513578,-2545,-0.62098,-6.089733516999999,XIAO-IMU-3,3330,1000086
6,0.007084434474616293,-2559,-0.624396,-6.123233033399999,XIAO-IMU-3,3330,1000086
7,0.008265173553719009,-2560,-0.62464,-6.125625855999999,XIAO-IMU-3,3330,1000086
8,0.009445912632821725,-2592,-0.632448,-6.2021961791999995,XIAO-IMU-3,3330,1000086
9,0.01062665171192444,-2602,-0.634888,-6.226124405199999,XIAO-IMU-3,3330,1000086
10,0.011807390791027156,-2597,-0.633668,-6.2141602922,XIAO-IMU-3,3330,1000086
11,0.012988129870129872,-2628,-0.641232,-6.2883377928,XIAO-IMU-3,3330,1000086
12,0.014168868949232586,-2627,-0.6409879999999999,-6.285944970199998,XIAO-IMU-3,3330,1000086
13,0.015349608028335302,-2631,-0.641964,-6.2955162605999995,XIAO-IMU-3,3330,1000086
14,0.016530347107438018,-2662,-0.649528,-6.3696937612,XIAO-IMU-3,3330,1000086
15,0.017711086186540735,-2664,-0.6500159999999999,-6.374479406399999,XIAO-IMU-3,3330,1000086
16,0.01889182526564345,-2817,-0.687348,-6.740581264199999,XIAO-IMU-3,3330,1000086
17,0.020072564344746163,-2825,-0.6892999999999999,-6.759723844999999,XIAO-IMU-3,3330,1000086
18,0.02125330342384888,-2864,-0.698816,-6.8530439264,XIAO-IMU-3,3330,1000086
19,0.022434042502951595,-2855,-0.69662,-6.831508523,XIAO-IMU-3,3330,1000086
20,0.023614781582054312,-2857,-0.697108,-6.836294168199999,XIAO-IMU-3,3330,1000086
21,0.024795520661157026,-2893,-0.705892,-6.922435781799999,XIAO-IMU-3,3330,1000086
22,0.025976259740259744,-2876,-0.701744,-6.8817577976,XIAO-IMU-3,3330,1000086
23,0.027156998819362458,-2885,-0.7039399999999999,-6.9032932009999985,XIAO-IMU-3,3330,1000086
24,0.028337737898465172,-2643,-0.6448919999999999,-6.3242301317999985,XIAO-IMU-3,3330,1000086
25,0.02951847697756789,-2610,-0.6368400000000001,-6.245266986000001,XIAO-IMU-3,3330,1000086
26,0.030699216056670604,-2573,-0.627812,-6.1567325498,XIAO-IMU-3,3330,1000086
27,0.03187995513577332,-2516,-0.613904,-6.0203416616,XIAO-IMU-3,3330,1000086
28,0.033060694214876035,-2444,-0.596336,-5.8480584343999995,XIAO-IMU-3,3330,1000086
29,0.03424143329397875,-2392,-0.5836480000000001,-5.7236316592000005,XIAO-IMU-3,3330,1000086
30,0.03542217237308147,-2343,-0.571692,-5.606383351799999,XIAO-IMU-3,3330,1000086
31,0.03660291145218418,-2282,-0.556808,-5.460421173199999,XIAO-IMU-3,3330,1000086
32,0.0377836505312869,-1746,-0.426024,-4.1778682596,XIAO-IMU-3,3330,1000086
33,0.038964389610389616,-1686,-0.411384,-4.0342989036,XIAO-IMU-3,3330,1000086
34,0.040145128689492326,-1594,-0.388936,-3.8141592244,XIAO-IMU-3,3330,1000086
35,0.041325867768595044,-1537,-0.37502800000000003,-3.6777683362,XIAO-IMU-3,3330,1000086
36,0.04250660684769776,-1473,-0.35941199999999995,-3.5246276897999995,XIAO-IMU-3,3330,1000086
37,0.04368734592680048,-1406,-0.343064,-3.3643085755999995,XIAO-IMU-3,3330,1000086
38,0.04486808500590319,-1306,-0.318664,-3.1250263156,XIAO-IMU-3,3330,1000086
39,0.04604882408500591,-1273,-0.31061199999999994,-3.046063169799999,XIAO-IMU-3,3330,1000086
40,0.047229563164108625,-733,-0.178852,-1.7539389658,XIAO-IMU-3,3330,1000086
41,0.048410302243211335,-676,-0.16494399999999998,-1.6175480775999997,XIAO-IMU-3,3330,1000086
42,0.04959104132231405,-634,-0.154696,-1.5170495283999998,XIAO-IMU-3,3330,1000086
43,0.05077178040141677,-583,-0.14225200000000002,-1.3950155758,XIAO-IMU-3,3330,1000086
44,0.05195251948051949,-512,-0.124928,-1.2251251712,XIAO-IMU-3,3330,1000086
45,0.0531332585596222,-469,-0.114436,-1.1222337993999998,XIAO-IMU-3,3330,1000086
46,0.054313997638724916,-419,-0.10223600000000001,-1.0025926694,XIAO-IMU-3,3330,1000086
47,0.055494736717827634,-364,-0.088816,-0.8709874264,XIAO-IMU-3,3330,1000086
48,0.056675475796930344,-213,-0.051972000000000004,-0.5096712138,XIAO-IMU-3,3330,1000086
49,0.05785621487603306,-154,-0.037576,-0.36849468039999994,XIAO-IMU-3,3330,1000086
50,0.05903695395513578,-112,-0.027327999999999998,-0.2679961312,XIAO-IMU-3,3330,1000086
51,0.0602176930342385,-24,-0.005856,-0.057427742399999995,XIAO-IMU-3,3330,1000086
52,0.06139843211334121,-4,-0.000976,-0.0095712904,XIAO-IMU-3,3330,1000086
53,0.06257917119244392,54,0.013176,0.1292124204,XIAO-IMU-3,3330,1000086
54,0.06375991027154664,110,0.02684,0.26321048599999997,XIAO-IMU-3,3330,1000086
55,0.06494064935064936,519,0.126636,1.2418749294,XIAO-IMU-3,3330,1000086
56,0.06612138842975207,586,0.142984,1.4021940436,XIAO-IMU-3,3330,1000086
57,0.06730212750885478,634,0.154696,1.5170495283999998,XIAO-IMU-3,3330,1000086
58,0.0684828665879575,686,0.16738399999999998,1.6414763035999997,XIAO-IMU-3,3330,1000086
59,0.06966360566706022,746,0.182024,1.7850456595999997,XIAO-IMU-3,3330,1000086
60,0.07084434474616294,776,0.18934399999999998,1.8568303375999997,XIAO-IMU-3,3330,1000086
61,0.07202508382526565,829,0.20227599999999998,1.9836499353999997,XIAO-IMU-3,3330,1000086
62,0.07320582290436836,902,0.220088,2.1583259852,XIAO-IMU-3,3330,1000086
63,0.07438656198347109,1429,0.348676,3.4193434953999997,XIAO-IMU-3,3330,1000086
64,0.0755673010625738,1512,0.368928,3.6179477711999994,XIAO-IMU-3,3330,1000086
65,0.07674804014167651,1555,0.37942000000000004,3.720839143,XIAO-IMU-3,3330,1000086
66,0.07792877922077923,1622,0.39576799999999995,3.881158257199999,XIAO-IMU-3,3330,1000086
67,0.07910951829988194,1665,0.40626,3.984049629,XIAO-IMU-3,3330,1000086
68,0.08029025737898465,1743,0.42529199999999995,4.170689791799999,XIAO-IMU-3,3330,1000086
69,0.08147099645808738,1765,0.43066,4.223331889,XIAO-IMU-3,3330,1000086
70,0.08265173553719009,1834,0.447496,4.3884366484,XIAO-IMU-3,3330,1000086
71,0.08383247461629281,2092,0.510448,5.0057848792,XIAO-IMU-3,3330,1000086
72,0.08501321369539552,2152,0.525088,5.1493542352,XIAO-IMU-3,3330,1000086
73,0.08619395277449823,2212,0.539728,5.292923591199999,XIAO-IMU-3,3330,1000086
74,0.08737469185360096,2242,0.547048,5.364708269199999,XIAO-IMU-3,3330,1000086
75,0.08855543093270367,2300,0.5611999999999999,5.503491979999999,XIAO-IMU-3,3330,1000086
76,0.08973617001180638,2342,0.571448,5.603990529199999,XIAO-IMU-3,3330,1000086
77,0.0909169090909091,2404,0.586576,5.7523455303999995,XIAO-IMU-3,3330,1000086
78,0.09209764817001181,2446,0.5968239999999999,5.852844079599999,XIAO-IMU-3,3330,1000086
79,0.09327838724911452,2747,0.670268,6.573083682199999,XIAO-IMU-3,3330,1000086
80,0.09445912632821725,2800,0.6831999999999999,6.699903279999999,XIAO-IMU-3,3330,1000086
81,0.09563986540731996,2847,0.694668,6.812365942199999,XIAO-IMU-3,3330,1000086
82,0.09682060448642267,2888,0.7046720000000001,6.9104716688000005,XIAO-IMU-3,3330,1000086
83,0.0980013435655254,2936,0.716384,7.0253271536,XIAO-IMU-3,3330,1000086
84,0.0991820826446281,2956,0.721264,7.0731836056,XIAO-IMU-3,3330,1000086
85,0.10036282172373083,3005,0.73322,7.190431912999999,XIAO-IMU-3,3330,1000086
86,0.10154356080283354,3058,0.7461519999999999,7.3172515107999985,XIAO-IMU-3,3330,1000086
87,0.10272429988193625,3285,0.8015399999999999,7.860422240999998,XIAO-IMU-3,3330,1000086
88,0.10390503896103898,3314,0.808616,7.9298140963999995,XIAO-IMU-3,3330,1000086
89,0.10508577804014169,3322,0.810568,7.948956677199999,XIAO-IMU-3,3330,1000086
90,0.1062665171192444,3364,0.820816,8.0494552264,XIAO-IMU-3,3330,1000086
91,0.10744725619834712,3387,0.826428,8.1044901462,XIAO-IMU-3,3330,1000086
92,0.10862799527744983,3421,0.8347239999999999,8.185846114599999,XIAO-IMU-3,3330,1000086
93,0.10980873435655254,3425,0.8356999999999999,8.195417404999999,XIAO-IMU-3,3330,1000086
94,0.11098947343565527,3455,0.84302,8.267202082999999,XIAO-IMU-3,3330,1000086
95,0.11217021251475798,3663,0.8937719999999999,8.764909183799999,XIAO-IMU-3,3330,1000086
96,0.11335095159386069,3656,0.892064,8.748159425599999,XIAO-IMU-3,3330,1000086
97,0.11453169067296341,3665,0.8942599999999999,8.769694828999999,XIAO-IMU-3,3330,1000086
98,0.11571242975206612,3673,0.896212,8.7888374098,XIAO-IMU-3,3330,1000086
99,0.11689316883116885,3678,0.897432,8.800801522799999,XIAO-IMU-3,3330,1000086
100,0.11807390791027156,3679,0.8976759999999999,8.803194345399998,XIAO-IMU-3,3330,1000086
101,0.11925464698937427,3723,0.908412,8.908478539799999,XIAO-IMU-3,3330,1000086
102,0.120435386068477,3770,0.91988,9.020941202,XIAO-IMU-3,3330,1000086
103,0.1216161251475797,3765,0.9186599999999999,9.008977088999998,XIAO-IMU-3,3330,1000086
104,0.12279686422668241,3756,0.916464,8.987441685599999,XIAO-IMU-3,3330,1000086
105,0.12397760330578514,3765,0.9186599999999999,9.008977088999998,XIAO-IMU-3,3330,1000086
106,0.12515834238488785,3753,0.915732,8.9802632178,XIAO-IMU-3,3330,1000086
107,0.12633908146399056,3749,0.914756,8.970691927399999,XIAO-IMU-3,3330,1000086
108,0.12751982054309327,3719,0.907436,8.8989072494,XIAO-IMU-3,3330,1000086
109,0.128700559622196,3711,0.905484,8.879764668599998,XIAO-IMU-3,3330,1000086
110,0.12988129870129872,3607,0.880108,8.6309111182,XIAO-IMU-3,3330,1000086
111,0.13106203778040143,3605,0.87962,8.626125472999998,XIAO-IMU-3,3330,1000086
112,0.13224277685950414,3607,0.880108,8.6309111182,XIAO-IMU-3,3330,1000086
113,0.13342351593860685,3575,0.8723,8.554340795,XIAO-IMU-3,3330,1000086
114,0.13460425501770956,3571,0.871324,8.5447695046,XIAO-IMU-3,3330,1000086
115,0.1357849940968123,3566,0.8701039999999999,8.532805391599998,XIAO-IMU-3,3330,1000086
116,0.136965733175915,3545,0.86498,8.482556117,XIAO-IMU-3,3330,1000086
117,0.13814647225501772,3543,0.8644919999999999,8.4777704718,XIAO-IMU-3,3330,1000086
118,0.13932721133412043,3531,0.861564,8.449056600599999,XIAO-IMU-3,3330,1000086
119,0.14050795041322314,3519,0.858636,8.4203427294,XIAO-IMU-3,3330,1000086
120,0.14168868949232588,3531,0.861564,8.449056600599999,XIAO-IMU-3,3330,1000086
121,0.1428694285714286,3512,0.856928,8.4035929712,XIAO-IMU-3,3330,1000086
122,0.1440501676505313,3513,0.857172,8.4059857938,XIAO-IMU-3,3330,1000086
123,0.145230906729634,3527,0.860588,8.4394853102,XIAO-IMU-3,3330,1000086
124,0.14641164580873672,3506,0.8554639999999999,8.389236035599998,XIAO-IMU-3,3330,1000086
125,0.14759238488783943,3496,0.853024,8.365307809599999,XIAO-IMU-3,3330,1000086
126,0.14877312396694217,3308,0.807152,7.915457160799999,XIAO-IMU-3,3330,1000086
127,0.14995386304604488,3262,0.795928,7.8053873212,XIAO-IMU-3,3330,1000086
128,0.1511346021251476,3224,0.7866559999999999,7.714460062399999,XIAO-IMU-3,3330,1000086
129,0.1523153412042503,3208,0.782752,7.6761749007999995,XIAO-IMU-3,3330,1000086
130,0.15349608028335301,3150,0.7686000000000001,7.53739119,XIAO-IMU-3,3330,1000086
131,0.15467681936245575,3114,0.759816,7.4512495764,XIAO-IMU-3,3330,1000086
132,0.15585755844155846,3055,0.74542,7.310073042999999,XIAO-IMU-3,3330,1000086
133,0.15703829752066117,3034,0.740296,7.2598237683999995,XIAO-IMU-3,3330,1000086
134,0.15821903659976388,2649,0.646356,6.3385870674,XIAO-IMU-3,3330,1000086
135,0.1593997756788666,2610,0.6368400000000001,6.245266986000001,XIAO-IMU-3,3330,1000086
136,0.1605805147579693,2588,0.631472,6.1926248888,XIAO-IMU-3,3330,1000086
137,0.16176125383707204,2501,0.610244,5.9844493226,XIAO-IMU-3,3330,1000086
138,0.16294199291617475,2476,0.604144,5.9246287576,XIAO-IMU-3,3330,1000086
139,0.16412273199527747,2404,0.586576,5.7523455303999995,XIAO-IMU-3,3330,1000086
140,0.16530347107438018,2340,0.57096,5.599204884,XIAO-IMU-3,3330,1000086
141,0.1664842101534829,2288,0.5582719999999999,5.474778108799999,XIAO-IMU-3,3330,1000086
142,0.16766494923258562,1833,0.447252,4.3860438258,XIAO-IMU-3,3330,1000086
143,0.16884568831168834,1762,0.429928,4.2161534212,XIAO-IMU-3,3330,1000086
144,0.17002642739079105,1672,0.407968,4.0007993872,XIAO-IMU-3,3330,1000086
145,0.17120716646989376,1602,0.39088799999999996,3.833301805199999,XIAO-IMU-3,3330,1000086
146,0.17238790554899647,1553,0.378932,3.7160534977999995,XIAO-IMU-3,3330,1000086
147,0.17356864462809918,1439,0.351116,3.4432717213999995,XIAO-IMU-3,3330,1000086
148,0.17474938370720192,1363,0.332572,3.2614172037999998,XIAO-IMU-3,3330,1000086
149,0.17593012278630463,681,0.16616399999999998,1.6295121905999996,XIAO-IMU-3,3330,1000086
150,0.17711086186540734,635,0.15494,1.519442351,XIAO-IMU-3,3330,1000086
151,0.17829160094451005,530,0.12932,1.2681959779999998,XIAO-IMU-3,3330,1000086
152,0.17947234002361276,472,0.11516799999999999,1.1294122671999998,XIAO-IMU-3,3330,1000086
153,0.18065307910271547,414,0.101016,0.9906285563999999,XIAO-IMU-3,3330,1000086
154,0.1818338181818182,358,0.087352,0.8566304908,XIAO-IMU-3,3330,1000086
155,0.18301455726092092,284,0.069296,0.6795616184,XIAO-IMU-3,3330,1000086
156,0.18419529634002363,216,0.052704,0.5168496816,XIAO-IMU-3,3330,1000086
157,0.18537603541912634,-105,-0.02562,-0.25124637299999997,XIAO-IMU-3,3330,1000086
158,0.18655677449822905,-131,-0.031964,-0.31345976059999997,XIAO-IMU-3,3330,1000086
